book_name,writer_name,type,characters
গৃহদাহ,Sarat Chandra Chattopadhyay,novel,"( মহিম , সেজদা ) ,  সুরেশ ,  (  কেদার মুখয্যে , কেদারবাবু  ) , ( অচলা , সেজদি ) , বিকাশবাবু  , ( নিশীথ , নিশীথবাবু ) , পিসিমা , ঠানদিদি  , হরির মা , যদু  , মৃণাল , ভবানী ঘোষাল , ( মেয়েটি , রাক্ষুসী , বীণাপাণি ) , রামবাবু  , বেহারা , রঘুবীর   "
চন্দ্রনাথ,Sarat Chandra Chattopadhyay,novel,"চন্দ্রনাথ , মণিশঙ্কর , ব্রজকিশোর , হরকালী , হরিদয়াল , বামুন-ঠাকরুন , সরযূ  , ( হরিবালা , ঠানদিদি  ) , ( দয়ালঠাকুর , দয়াল  ) , ( কৈলাসখুড়া , খুড়া , কৈলাসচন্দ্র , কৈলাস  ) , সুলোচনা  , রাখাল , বিশু , শম্ভু  "
চরিত্রহীন,Sarat Chandra Chattopadhyay,novel," সতীশ  ,  ( ভূপতি  , ভূপতিবাবু ) , সাবিত্রী , বেহারী , দিবাকর , মহেশ্বরী , ( উপেন্দ্রনাথ , উপেন্দ্র ) , সুরবালা  , শচী  , ( মোক্ষদা  , ঝি ) , ( ভুবনবাবু  , ভুবনচন্দ্র ) , ( রাখাল ,  রাখালবাবু ) , চক্রবর্তী  , হারান  , ( কিরণময়ী , কিরণ ) , অঘোরময়ী  ,  সরোজিনী , জ্যোতিষ , ডাক্তার , ( শশাঙ্ক , শশাঙ্কমোহন ) , দাসী "
দত্তা,Sarat Chandra Chattopadhyay,novel,"বিজয়া , ( বিলাসবিহারী , বিলাস  ) , ( নরেন্দ্রনাথ ,  নরেন  , নরেন্দ্র  ) , জগদীশ  , বনমালী , রাসবিহারী ,  পরেশ  , কালীপদ , দয়াল  , নলিনী  "
দেনা-পাওনা,Sarat Chandra Chattopadhyay,novel,"জীবানন্দ ,  ( ষোড়শী , অলকা , ভৈরবী ) , বিশ্বম্ভর , এককড়ি , ( তারাদাস চক্রবর্তী  , তারাদাস ) , মহাবীর , ম্যাজিস্ট্রেট  , ইন্‌স্পেক্টরবাবু , রানীর মা  , সর্বেশ্বর শিরোমণি , ( জনার্দন রায় , রায়মহাশয় ) , হৈম , নির্মল , ফকির  , বসু  , সাগর  , প্রফুল্ল , বিপিন  , হরিহর "
দেবদাস,Sarat Chandra Chattopadhyay,novel,"দেবদাস ,  পার্বতী , দ্বিজদাস , চন্দ্রমুখী  , ( ভোলানাথ , ভুলো  ) , পণ্ডিত , ধর্মদাস , নারায়ণবাবু  , মনোরমা  ,  নগেনবাবু , চুনিলাল ,  মহেন্দ্র , যশোদা  , ভুবন , ( জলদবালা , জলদ  ) , ভৈরব  , বড়বৌ  "
নববিধান,Sarat Chandra Chattopadhyay,novel,"(  শৈলেশ্বর , শৈলেশ  ) , দিগ্‌গজ , কালীপদবাবু  , ভূপেনবাবু ,  সোমেন , বিভা  , ঊষা , ( ভূতনাথ , ভূতো ) , উমেশ ভট্‌চায্যি , আকাশ-প্রদীপ , গোকুল  , আবদুল , কুমুদা   , ক্ষেত্রমোহন "
নিষ্কৃতি,Sarat Chandra Chattopadhyay,novel,"গিরীশ , হরিশ , রমেশ , সিদ্ধেশ্বরী  , ( নয়নতারা , মেজবৌ  ),   ( শৈলজা , শৈল  ) , নীলা  , ভবানী চাটুয্যে ,  পটল , বিপিন  , কানাই  , ( হরিচরণ , হরি  ) , মণি , অতুল , মণীন্দ্র ,  গণেশ  "
পথের দাবী,Sarat Chandra Chattopadhyay,novel,"অপূর্ব  , ( সব্যসাচী , ডাক্তার ) , ভারতী , সুমিত্রা   , শশী  , নবতারা , বিনোদ , করুণাময়ী , দরোয়ান , তেওয়ারী , রামদাস  , নিমাইবাবু  , জগদীশ , মনোহর , তলওয়ারকর , কৃষ্ণ , ( হীরা সিং , হীরা ) , ব্রজেন্দ্র  "
পন্ডিতমশাই,Sarat Chandra Chattopadhyay,novel,"( কুঞ্জ  , কুঞ্জনাথ ) , কুসুম , বৃন্দাবন , গৌরদাস , চরণ  , মা  , ভূতো , কেশব , শিবু , ঘোষাল , ব্রজেশ্বরী , গোবর্ধন  , তারিণী , দাসী"
পরিণীতা,Sarat Chandra Chattopadhyay,novel,"ললিতা  ,  শেখর , গুরুচরণ , ( নবীন রায় , নবীন ) , ভুবনেশ্বরী , মনোরমা ,  চারুবালা , ( আন্নাকালী , কালী ) , গিরীন , অবিনাশ , ডাক্তার  "
পল্লী-সমাজ,Sarat Chandra Chattopadhyay,novel,"রমেশ , বেণী ঘোষাল, ( মাসি, ক্ষ্যান্তমাসি ) , রমা , তারিণী  ,  ( যদু মুখুজ্য  , যদু  ) ,   গোবিন্দ গাঙ্গুলী , পরাণ হালদার  , ধর্মদাস , ( জ্যাঠাইমা , বিশ্বেশ্বরী ) , মধু পাল ,  গোপাল সরকার , কৈলাস , মতিলাল , দীনু  ,  বাঁড়ুয্যে , মাস্টার , ভৈরব , ভজুয়া  , যতীন "
বৈকুন্ঠের উইল,Sarat Chandra Chattopadhyay,novel,"বৈকুণ্ঠ  , ভবানী ,  গোকুল , বিনোদ , ( হেমাঙ্গিনী  ,  হিমু  ) ,  ( নিমাই  ,  রায়মশাই ) , (  জয়লাল  , বাঁড়ুয্যেমশাই ) , মনোরমা , ( রসিক , চক্রবর্তী  ) , গিরিশবাবু"
বড়দিদি,Sarat Chandra Chattopadhyay,novel,"( সুরেন্দ্রনাথ , সুরেন্দ্র  ) , ( মাধবী , বড়দিদি  ) ,  প্রমীলা  , মনোরমা  , ( ব্রজরাজবাবু , ব্রজরাজ , ব্রজবাবু ) , শিবচন্দ্র  , রায়মহাশয় , গৃহিণী , যোগেন্দ্রনাথ , বিন্দু  , মথুরবাবু "
শেষ প্রশ্ন,Sarat Chandra Chattopadhyay,novel,"আশুবাবু , ( মনোরমা , মণি ) ,   অবিনাশ  , নীলিমা , শিবনাথ , কমল , হরেন্দ্র , রাজেন্দ্র  , অক্ষয় ,  অজিত ,  সতীশ , রাজেন  , জগৎ , মালিনী"
